,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1,1.05,1.1,1.15,1.2,1.25,1.3,1.4,1.5
0.083333333,1.03987,0.91171,0.76479,0.69821,0.64152,0.58366,0.52813,0.47262,0.41815,0.39777,0.34736,0.31014,0.29164,0.30289,0.32568,0.38575,0.44722
0.166666667,0.83664,0.71909,0.61365,0.56245,0.51671,0.47376,0.43182,0.3904,0.35595,0.32613,0.29902,0.26856,0.24948,0.24502,0.24977,0.28239,0.32862
0.25,0.73108,0.63489,0.54329,0.50045,0.461,0.42415,0.38839,0.35443,0.33121,0.29882,0.276,0.24924,0.22916,0.22112,0.22016,0.2382,0.27293
0.333333333,0.66648,0.58099,0.49707,0.45727,0.42365,0.39299,0.36239,0.33314,0.31279,0.2857,0.2654,0.23939,0.21947,0.20899,0.20571,0.21382,0.23979
0.416666667,0.61987,0.53912,0.4629,0.4293,0.39663,0.36911,0.34342,0.31732,0.29705,0.27435,0.25679,0.23297,0.21368,0.19996,0.19332,0.20023,0.21749
0.5,0.58208,0.50632,0.43711,0.40387,0.37685,0.35169,0.32737,0.30432,0.28218,0.26919,0.24905,0.22581,0.20712,0.19295,0.18482,0.18503,0.2056
0.75,0.50229,0.43791,0.38144,0.35693,0.33465,0.31456,0.2941,0.27697,0.25925,0.24258,0.23223,0.21513,0.19824,0.18298,0.17236,0.16692,0.17204
1,0.46733,0.3979,0.34937,0.32872,0.30969,0.29287,0.27702,0.26112,0.24507,0.23052,0.22582,0.20853,0.19375,0.18051,0.17013,0.16081,0.16229
1.5,0.39536,0.34906,0.31198,0.29598,0.28095,0.26793,0.25451,0.24248,0.23148,0.22057,0.21221,0.20074,0.19082,0.17986,0.16989,0.15862,0.15676
2,0.35895,0.31907,0.28958,0.27654,0.26477,0.25328,0.24335,0.23352,0.22493,0.21554,0.20541,0.19716,0.18887,0.18093,0.17284,0.16059,0.15488
3,0.31981,0.28607,0.26637,0.25308,0.24714,0.23867,0.2317,0.22387,0.21708,0.21029,0.20439,0.19642,0.19071,0.18432,0.17928,0.16617,0.15732
